#REF!,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Semifinals ⬥ Performance Scores,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,
,,★,#1,PL:,,MALISZEWSKI,1.932,7 / 7,7 / 11,"715,537",97.90%,,DT1,S,"995,798",,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,,#2,US:,,EthantrixV3,1.703,3 / 6,3 / 11,"797,703",96.51%,,FM3, S ,"958,496",,,,,
,,★,#3,KR:,,LATAJACYTUNCZYK,1.672,12 / 14,10 / 11,"638,465",97.87%,,NM5,S,"879,838",,,,,
,,★,#4,AU:,,ASecretBox,1.615,5 / 6,5 / 11,"677,927",97.37%,,FM1,A,"951,065",,,,,
,,★,#5,US:,,rektygon,1.609,5 / 6,5 / 11,"677,208",97.75%,,FM3,S,"832,950",,,,,
,,★,#6,AU:,,mrekk,1.579,6 / 6,6 / 11,"635,405",97.53%,,DT1,S,"967,403",,,,,
,,★,#7,DE:,,criller,1.572,17 / 18,10 / 11,"648,719",98.33%,,NM1,S,"1,000,046",,,,,
,,,#8,US:,,WindowLife,1.467,4 / 6,4 / 11,"698,318",98.81%,,FM1,S,"974,313",, MORE STATISTICS,,,
,,★,#9,NO:,,NINERIK,1.421,7 / 7,7 / 11,"523,346",97.10%,,DT3,A,"829,564",,,,,
,,,#10,US:,,tekkito,1.404,4 / 6,4 / 11,"686,387",98.34%,,DT1,S,"1,019,029",,,,,▶  qualifiers
,,★,#11,KR:,,[Karcher],1.395,11 / 14,9 / 11,"560,194",97.89%,,HR2,A,"752,076",,,,,▶  group stage
,,★,#12,NZ:,,Saiyku,1.385,19 / 19,13 / 11,"578,655",96.98%,,DT1,S,"965,632",,,,,▶  round of 16
,,★,#13,CN:,,lolol233,1.384,9 / 9,9 / 11,"579,303",97.43%,,FM2,S,"833,951",,,,,▶  quarterfinals
,,★,#14,NZ:,,Kyujin,1.378,19 / 19,13 / 11,"602,413",97.49%,,FM2,S,"971,662",,,,,▶  semifinals
,,★,#15,CA:,,xootynator,1.355,5 / 7,5 / 11,"544,582",97.43%,,HD1,A,"683,234",,,,,▶  finals
,,,#16,US:,,BoshyMan741,1.339,1 / 6,1 / 11,"934,918",98.15%,,HD2, S ,"934,918",,,,,▶  grand finals
,,★,#17,KR:,,Amamya Kokoro,1.288,11 / 14,8 / 11,"518,329",98.05%,,NM2,A,"686,650",,,,,▶  overall
,,,#18,AU:,,cloppit,1.285,4 / 6,4 / 11,"599,192",97.59%,,DT2,A,"791,423",,,,,
,,★,#19,CN:,,lolol235,1.260,8 / 9,8 / 11,"521,375",96.67%,,FM1,S,"962,593",,,,,
,,,#20,US:,,decaten,1.255,3 / 6,3 / 11,"574,471",98.32%,,FM1,A,"654,246",, FULL FORMULA,,,
,,★,#21,PL:,,milosz,1.250,7 / 7,7 / 11,"461,812",97.30%,,DT1,A,"589,065",,,,,
,,★,#22,NO:,,papercandle,1.243,5 / 7,5 / 11,"541,051",96.67%,,DT1,S,"1,001,013",,,,,
,,★,#23,RU:,,Welter,1.225,15 / 16,11 / 11,"469,596",97.90%,,DT1,A,"642,521",,,,,
,,★,#24,CL:,,Intercambing,1.211,8 / 8,8 / 11,"473,538",97.73%,,FM4,A,"663,953",,,,,
,,★,#25,CA:,,Zylice,1.198,7 / 7,7 / 11,"452,627",96.82%,,DT1,A,"707,908",,,,,
,,★,#26,RU:,,desuqe,1.188,15 / 16,11 / 11,"443,722",97.00%,,FM1,A,"595,623",,,,,
,,,#27,GB:,,Plasma,1.161,6 / 9,6 / 11,"473,347",96.93%,,NM1,A,"740,957",,,,,
,,,#28,PL:,,evil grape,1.144,4 / 7,4 / 11,"513,308",96.36%,,NM4,A,"666,104",,,,,
,,,#29,KR:,,Allegrissimo,1.138,7 / 14,6 / 11,"524,546",96.26%,,HD3, S ,"912,244",,,,,
,,★,#30,DE:,,Denzel Curry,1.136,17 / 18,11 / 11,"479,174",97.31%,,NM3,A,"729,416",,,,,
,,,#31,GB:,,Bubbleman,1.129,6 / 9,6 / 11,"491,742",96.92%,,FM3,A,"753,471",,view full-size image here,,,
,,★,#32,CL:,,alfiu,1.124,7 / 8,7 / 11,"463,594",96.56%,,NM4,S,"619,750",,,,,
,,,#33,US:,,Pezz,1.112,3 / 6,3 / 11,"612,254",97.46%,,DT1,A,"812,008",,,,,
,,★,#34,NO:,,Melvr,1.109,6 / 7,6 / 11,"398,746",95.39%,,HD3,A,"630,809",,,,,
,,★,#35,RU:,,Lexu2S,1.107,13 / 16,11 / 11,"446,564",96.78%,,DT1,A,"870,936",,,,,
,,,#36,NO:,,Pinguinzi,1.080,3 / 7,3 / 11,"595,947",95.97%,,DT3,B,"757,576",,,,,
,,,#37,CA:,,yip,1.077,4 / 7,4 / 11,"452,939",97.26%,,NM4,S,"648,853",,,,,
,,,#38,GB:,,fudge,1.053,5 / 9,5 / 11,"463,823",97.25%,,DT1,A,"559,773",,,,,
,,,#39,GB:,,skia1,1.049,5 / 9,5 / 11,"427,175",94.61%,,FM3,A,"675,230",,,,,
,,★,#40,CN:,,Crystal,1.048,7 / 9,7 / 11,"436,647",96.32%,,NM4,A,"611,999",,,,,
,,,#41,GB:,,Accolibed,1.038,4 / 9,4 / 11,"568,995",98.04%,,DT1,A,"842,693",,,,,
,,,#42,AU:,,aknzx,1.031,4 / 6,4 / 11,"480,408",97.08%,,NM3,A,"531,211",,,,,
,,,#43,PL:,,gnahus,0.998,3 / 7,3 / 11,"434,608",97.57%,,HD1,A,"494,225",,,,,
,,★,#44,NZ:,,ozbert,0.965,19 / 19,13 / 11,"401,147",94.39%,,FM4,A,"686,340",,,,,
